League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-11-8,18,2,35,4,Regular Season,1,0,0,203
0,2003-11-8,22,2,27,5,Regular Season,1,0,0,204
0,2003-11-8,26,4,30,2,Regular Season,1,0,0,199
0,2003-11-8,10,1,14,5,Regular Season,1,0,0,197
0,2003-11-8,24,7,11,1,Regular Season,1,0,0,193
0,2003-11-8,9,2,32,2,Regular Season,1,1,0,194
0,2003-11-8,5,4,12,3,Regular Season,1,0,0,192
0,2003-11-8,28,2,21,1,Regular Season,1,0,0,198
0,2003-11-8,0,5,17,3,Regular Season,1,0,0,195
0,2003-11-8,20,2,33,4,Regular Season,1,0,0,196
0,2003-11-9,30,5,26,2,Regular Season,1,0,0,208
0,2003-11-9,8,1,25,2,Regular Season,1,0,0,207
0,2003-11-9,34,3,19,3,Regular Season,1,1,0,206
0,2003-11-9,24,0,29,3,Regular Season,1,0,0,205
0,2003-11-10,9,4,8,1,Regular Season,1,0,0,209
0,2003-11-10,10,3,23,2,Regular Season,1,1,0,210
0,2003-11-10,22,5,11,2,Regular Season,1,0,0,211
0,2003-11-11,35,2,18,4,Regular Season,1,0,0,215
0,2003-11-11,14,1,20,4,Regular Season,1,0,0,217
0,2003-11-11,27,2,25,3,Regular Season,1,0,0,218
0,2003-11-11,0,1,34,0,Regular Season,1,0,0,216
0,2003-11-11,5,1,23,4,Regular Season,1,0,0,213
0,2003-11-11,33,1,28,1,Regular Season,1,1,0,212
0,2003-11-11,31,2,29,2,Regular Season,1,1,0,214
0,2003-11-12,10,6,15,0,Regular Season,1,0,0,223
0,2003-11-12,30,2,3,4,Regular Season,1,0,0,222
0,2003-11-12,22,4,24,4,Regular Season,1,1,0,224
0,2003-11-12,17,1,21,3,Regular Season,1,0,0,219
0,2003-11-12,12,4,9,2,Regular Season,1,0,0,221
0,2003-11-12,8,1,19,1,Regular Season,1,1,0,220
0,2003-11-13,14,4,18,1,Regular Season,1,0,0,232
0,2003-11-13,26,4,25,2,Regular Season,1,0,0,233
